#Release 14.5 - par P.58f (nt64)
#Copyright (c) 1995-2012 Xilinx, Inc.  All rights reserved.

#Tue May 17 18:09:11 2016

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       MainModule_map.ncd
#OUTPUT FILE:      MainModule_pad.csv
#PART TYPE:        xa7a100t
#SPEED GRADE:      -2i
#PACKAGE:          csg324
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
E2,PCOut<25>,IOB,IO_L14P_T2_SRCC_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
E3,RegFileOut1<2>,IOB,IO_L12P_T1_MRCC_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
E4,,,GND,,,,,,,,,,,,
E5,PCOut<13>,IOB,IO_L5N_T0_AD13N_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
E6,PCOut<12>,IOB,IO_L5P_T0_AD13P_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
E7,PCOut<14>,IOB,IO_L6P_T0_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
E8,,,VCCBATT_0,,,,,,,,,,,,
E9,,,CCLK_0,,,,,,,,,,,,
E10,,,TCK_0,,,,,,,,,,,,
E11,,,TDI_0,,,,,,,,,,,,
E12,,,TMS_0,,,,,,,,,,,,
E13,,,TDO_0,,,,,,,,,,,,
E14,,,GND,,,,,,,,,,,,
E15,DataMemOut<8>,IOB,IO_L11P_T1_SRCC_15,TRISTATE,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,YES,NONE,
E16,DataMemOut<15>,IOB,IO_L11N_T1_SRCC_15,TRISTATE,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,YES,NONE,
E17,DataMemOut<10>,IOB,IO_L16P_T2_A28_15,TRISTATE,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,YES,NONE,
E18,RegFileOut2<27>,IOB,IO_L21P_T3_DQS_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
F1,RegFileOut1<5>,IOB,IO_L18P_T2_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
F2,,,VCCO_35,,,35,,,,,1.80,,,,
F3,RegFileOut1<1>,IOB,IO_L13N_T2_MRCC_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
F4,RegFileOut1<4>,IOB,IO_L13P_T2_MRCC_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
F5,PCOut<3>,IOB,IO_0_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
F6,RegFileOut1<8>,IOB,IO_L19N_T3_VREF_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
F7,,,GND,,,,,,,,,,,,
F8,,,VCCINT,,,,,,,,1.0,,,,
F9,,,GND,,,,,,,,,,,,
F10,,,VCCBRAM,,,,,,,,,,,,
F11,,,GND,,,,,,,,,,,,
F12,,,VCCAUX,,,,,,,,1.8,,,,
F13,RegFileOut2<9>,IOB,IO_L5P_T0_AD9P_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
F14,RegFileOut2<10>,IOB,IO_L5N_T0_AD9N_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
F15,RegFileOut2<22>,IOB,IO_L14P_T2_SRCC_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
F16,DataMemOut<3>,IOB,IO_L14N_T2_SRCC_15,TRISTATE,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,YES,NONE,
F17,,,GND,,,,,,,,,,,,
F18,ALUOut<5>,IOB,IO_L22N_T3_A16_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
G1,PCOut<29>,IOB,IO_L17N_T2_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
G2,PCOut<28>,IOB,IO_L15N_T2_DQS_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
G3,RegFileOut1<10>,IOB,IO_L20N_T3_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
G4,RegFileOut1<9>,IOB,IO_L20P_T3_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
G5,,,VCCO_35,,,35,,,,,1.80,,,,
G6,RegFileOut1<7>,IOB,IO_L19P_T3_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
G7,,,VCCINT,,,,,,,,1.0,,,,
G8,,,GND,,,,,,,,,,,,
G9,,,VCCINT,,,,,,,,1.0,,,,
G10,,,GND,,,,,,,,,,,,
G11,,,VCCBRAM,,,,,,,,,,,,
G12,,,GND,,,,,,,,,,,,
G13,RegFileOut2<0>,IOB,IO_0_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
G14,RegFileOut2<16>,IOB,IO_L15N_T2_DQS_ADV_B_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
G15,,,VCCO_15,,,15,,,,,1.80,,,,
G16,RegFileOut2<15>,IOB,IO_L13N_T2_MRCC_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
G17,RegFileOut2<19>,IOB,IO_L18N_T2_A23_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
G18,RegFileOut2<30>,IOB,IO_L22P_T3_A17_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
H1,RegFileOut1<3>,IOB,IO_L17P_T2_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
H2,PCOut<31>,IOB,IO_L15P_T2_DQS_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
H3,,,GND,,,,,,,,,,,,
H4,RegFileOut1<12>,IOB,IO_L21N_T3_DQS_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
H5,RegFileOut1<18>,IOB,IO_L24N_T3_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
H6,RegFileOut1<17>,IOB,IO_L24P_T3_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
H7,,,GND,,,,,,,,,,,,
H8,,,VCCINT,,,,,,,,1.0,,,,
H9,,,GNDADC_0,,,,,,,,,,,,
H10,,,VCCADC_0,,,,,,,,,,,,
H11,,,GND,,,,,,,,,,,,
H12,,,VCCAUX,,,,,,,,1.8,,,,
H13,,,GND,,,,,,,,,,,,
H14,RegFileOut2<21>,IOB,IO_L15P_T2_DQS_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
H15,RegFileOut2<28>,IOB,IO_L19N_T3_A21_VREF_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
H16,RegFileOut2<24>,IOB,IO_L13P_T2_MRCC_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
H17,RegFileOut2<23>,IOB,IO_L18P_T2_A24_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
H18,,,VCCO_15,,,15,,,,,1.80,,,,
J1,,,VCCO_35,,,35,,,,,1.80,,,,
J2,RegFileOut1<14>,IOB,IO_L22N_T3_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
J3,RegFileOut1<13>,IOB,IO_L22P_T3_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
J4,RegFileOut1<11>,IOB,IO_L21P_T3_DQS_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
J5,RegFileOut1<19>,IOB,IO_25_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
J6,,,GND,,,,,,,,,,,,
J7,,,VCCINT,,,,,,,,1.0,,,,
J8,,,GND,,,,,,,,,,,,
J9,,,VREFN_0,,,,,,,,,,,,
J10,,IPAD,VP_0,UNUSED,,0,,,,,,,,,
J11,,,VCCINT,,,,,,,,1.0,,,,
J12,,,GND,,,,,,,,,,,,
J13,RegFileOut2<13>,IOB,IO_L17N_T2_A25_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
J14,RegFileOut2<17>,IOB,IO_L19P_T3_A22_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
J15,RegFileOut2<31>,IOB,IO_L24N_T3_RS0_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
J16,,,GND,,,,,,,,,,,,
J17,ALUOut<10>,IOB,IO_L23P_T3_FOE_B_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
J18,ALUOut<0>,IOB,IO_L23N_T3_FWE_B_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
K1,RegFileOut1<16>,IOB,IO_L23N_T3_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
K2,RegFileOut1<15>,IOB,IO_L23P_T3_35,OUTPUT,LVCMOS18*,35,12,SLOW,,,,UNLOCATED,NO,NONE,
K3,RegFileOut1<23>,IOB,IO_L2P_T0_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
K4,,,VCCO_34,,,34,,,,,1.80,,,,
K5,RegFileOut1<29>,IOB,IO_L5P_T0_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
K6,RegFileOut1<20>,IOB,IO_0_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
K7,,,GND,,,,,,,,,,,,
K8,,,VCCINT,,,,,,,,1.0,,,,
K9,,IPAD,VN_0,UNUSED,,0,,,,,,,,,
K10,,,VREFP_0,,,,,,,,,,,,
K11,,,GND,,,,,,,,,,,,
K12,,,VCCAUX,,,,,,,,1.8,,,,
K13,RegFileOut2<20>,IOB,IO_L17P_T2_A26_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
K14,,,VCCO_15,,,15,,,,,1.80,,,,
K15,ALUOut<1>,IOB,IO_L24P_T3_RS1_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
K16,ALUOut<8>,IOB,IO_25_15,OUTPUT,LVCMOS18*,15,12,SLOW,,,,UNLOCATED,NO,NONE,
K17,ALUOut<9>,IOB,IO_L1P_T0_D00_MOSI_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
K18,ALUOut<6>,IOB,IO_L1N_T0_D01_DIN_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
L1,RegFileOut1<21>,IOB,IO_L1P_T0_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
L2,,,GND,,,,,,,,,,,,
L3,RegFileOut1<24>,IOB,IO_L2N_T0_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
L4,RegFileOut1<30>,IOB,IO_L5N_T0_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
L5,RegFileOut1<27>,IOB,IO_L6N_T0_VREF_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
L6,RegFileOut1<31>,IOB,IO_L6P_T0_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
L7,,,VCCINT,,,,,,,,1.0,,,,
L8,,,GND,,,,,,,,,,,,
L9,,,DXN_0,,,,,,,,,,,,
L10,,,DXP_0,,,,,,,,,,,,
L11,,,VCCINT,,,,,,,,1.0,,,,
L12,,,GND,,,,,,,,,,,,
L13,ALUOut<16>,IOB,IO_L6P_T0_FCS_B_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
L14,ALUOut<11>,IOB,IO_L2P_T0_D02_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
L15,ALUOut<13>,IOB,IO_L3P_T0_DQS_PUDC_B_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
L16,ALUOut<7>,IOB,IO_L3N_T0_DQS_EMCCLK_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
L17,,,VCCO_14,,,14,,,,,1.80,,,,
L18,ALUOut<17>,IOB,IO_L4P_T0_D04_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
M1,RegFileOut1<22>,IOB,IO_L1N_T0_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
M2,RegFileOut1<28>,IOB,IO_L4N_T0_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
M3,RegFileOut1<26>,IOB,IO_L4P_T0_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
M4,,IOB33M,IO_L16P_T2_34,UNUSED,,34,,,,,,,,,
M5,,,GND,,,,,,,,,,,,
M6,,IOB33M,IO_L18P_T2_34,UNUSED,,34,,,,,,,,,
M7,,,GND,,,,,,,,,,,,
M8,,,VCCINT,,,,,,,,1.0,,,,
M9,,,GND,,,,,,,,,,,,
M10,,,VCCINT,,,,,,,,1.0,,,,
M11,,,GND,,,,,,,,,,,,
M12,,,VCCAUX,,,,,,,,1.8,,,,
M13,ALUOut<20>,IOB,IO_L6N_T0_D08_VREF_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
M14,ALUOut<15>,IOB,IO_L2N_T0_D03_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
M15,,,GND,,,,,,,,,,,,
M16,DataMemOut<4>,IOB,IO_L10P_T1_D14_14,TRISTATE,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,YES,NONE,
M17,ALUOut<23>,IOB,IO_L10N_T1_D15_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
M18,ALUOut<12>,IOB,IO_L4N_T0_D05_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
N1,PCOut<2>,IOB,IO_L3N_T0_DQS_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
N2,RegFileOut1<25>,IOB,IO_L3P_T0_DQS_34,OUTPUT,LVCMOS18*,34,12,SLOW,,,,UNLOCATED,NO,NONE,
N3,,,VCCO_34,,,34,,,,,1.80,,,,
N4,,IOB33S,IO_L16N_T2_34,UNUSED,,34,,,,,,,,,
N5,,IOB33M,IO_L13P_T2_MRCC_34,UNUSED,,34,,,,,,,,,
N6,,IOB33S,IO_L18N_T2_34,UNUSED,,34,,,,,,,,,
N7,,,VCCINT,,,,,,,,1.0,,,,
N8,,,GND,,,,,,,,,,,,
N9,,,VCCINT,,,,,,,,1.0,,,,
N10,,,GND,,,,,,,,,,,,
N11,,,VCCINT,,,,,,,,1.0,,,,
N12,,,GND,,,,,,,,,,,,
N13,,,VCCO_14,,,14,,,,,1.80,,,,
N14,ALUOut<3>,IOB,IO_L8P_T1_D11_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
N15,,IOB33M,IO_L11P_T1_SRCC_14,UNUSED,,14,,,,,,,,,
N16,,IOB33S,IO_L11N_T1_SRCC_14,UNUSED,,14,,,,,,,,,
N17,ALUOut<22>,IOB,IO_L9P_T1_DQS_14,OUTPUT,LVCMOS18*,14,12,SLOW,,,,UNLOCATED,NO,NONE,
N18,,,GND,,,,,,,,,,,,
P1,,,GND,,,,,,,,,,,,
P2,,IOB33M,IO_L15P_T2_DQS_34,UNUSED,,34,,,,,,,,,
P3,,IOB33S,IO_L14N_T2_SRCC_34,UNUSED,,34,,,,,,,,,
P4,,IOB33M,IO_L14P_T2_SRCC_34,UNUSED,,34,,,,,,,,,
P5,,IOB33S,IO_L13N_T2_MRCC_34,UNUSED,,34,,,,,,,,,
P6,,,VCCO_34,,,34,,,,,1.80,,,,
P7,,,INIT_B_0,,,,,,,,,,,,
P8,,,CFGBVS_0,,,,,,,,,,,,
P9,,,PROGRAM_B_0,,,,,,,,,,,,
P10,,,DONE_0,,,,,,,,,,,,
P11,,,M2_0,,,,,,,,,,,,
P12,,,M0_0,,,,,,,,,,,,
P13,,,M1_0,,,,,,,,,,,,
P14,START,IOB,IO_L8N_T1_D12_14,INPUT,LVCMOS18*,14,,,,NONE,,UNLOCATED,NO,NONE,
P15,,IOB33M,IO_L13P_T2_MRCC_14,UNUSED,,14,,,,,,,,,
P16,,,VCCO_14,,,14,,,,,1.80,,,,
P17,,IOB33M,IO_L12P_T1_MRCC_14,UNUSED,,14,,,,,,,,,
